date,visitors,product_views,add_to_cart,orders,paid_orders,gmv,discount_amount,refund_amount,avg_wait_minutes,delivery_rating
2026-07-28,640,1420,176,78,59,3980,280,60,3.8,4.82
2026-07-29,670,1490,185,82,62,4170,290,0,4.0,4.80
2026-07-30,695,1552,194,86,65,4320,310,80,4.2,4.78
2026-07-31,720,1610,202,89,67,4480,300,0,4.3,4.80
2026-08-01,760,1690,216,95,71,4690,340,0,4.6,4.76
2026-08-02,820,1840,238,106,79,5120,390,120,5.0,4.74
2026-08-03,780,1740,221,98,75,4890,360,0,4.8,4.77
2026-08-04,700,1570,188,84,66,4360,310,0,4.2,4.81
2026-08-05,735,1650,199,90,70,4620,330,50,4.5,4.79
2026-08-06,760,1710,206,94,73,4850,350,0,4.7,4.78
2026-08-07,790,1775,215,99,76,5010,370,90,5.1,4.76
2026-08-08,830,1870,230,105,80,5260,400,0,5.2,4.74
2026-08-09,870,1960,244,111,84,5480,420,110,5.5,4.71
2026-08-10,850,1910,237,108,82,5320,410,0,5.3,4.73
2026-08-11,755,1690,205,93,72,4760,350,70,4.8,4.77
2026-08-12,785,1760,214,97,74,4920,370,0,5.0,4.76
2026-08-13,815,1830,225,102,78,5110,390,0,5.4,4.74
2026-08-14,860,1930,239,109,83,5380,430,130,5.8,4.70
2026-08-15,900,2020,253,116,87,5620,450,0,6.0,4.69
2026-08-16,940,2120,266,121,91,5840,470,90,6.3,4.67
2026-08-17,990,2240,282,129,95,6110,510,150,6.8,4.65
2026-08-18,720,1650,198,79,62,4620,330,60,4.2,4.82
2026-08-19,810,1810,225,96,77,5780,410,0,4.4,4.80
2026-08-20,865,1940,242,110,88,6840,500,80,5.0,4.76
2026-08-21,920,2080,265,117,93,7440,540,0,5.6,4.72
2026-08-22,980,2210,286,126,101,7960,580,100,6.2,4.68
2026-08-23,1120,2530,332,146,117,9120,700,160,7.4,4.62
2026-08-24,1360,3010,392,178,143,11440,860,230,8.6,4.58
